DataTypeId;FrequencyId;PresentationTypeId;Date;Value
1;3;3;01.01.1990;1107.6
1;3;3;01.02.1990;1283.1
1;3;3;01.03.1990;1232.8
1;3;3;01.04.1990;1202.9
1;3;3;01.05.1990;1176.5
1;3;3;01.06.1990;1151.2
1;3;3;01.07.1990;1094
1;3;3;01.08.1990;848.5
1;3;3;01.09.1990;658
1;3;3;01.10.1990;456
1;3;3;01.11.1990;385.9
1;3;3;01.12.1990;349.3
1;3;3;01.01.1989;183.2
1;3;3;01.02.1989;170.3
1;3;3;01.03.1989;174.2
1;3;3;01.04.1989;177.8
1;3;3;01.05.1989;185.4
1;3;3;01.06.1989;191.3
1;3;3;01.07.1989;203.9
1;3;3;01.08.1989;282.7
1;3;3;01.09.1989;369.2
1;3;3;01.10.1989;557.1
1;3;3;01.11.1989;657
1;3;3;01.12.1989;739.6
1;3;3;01.01.1988;128.4
1;3;3;01.02.1988;147.6
1;3;3;01.03.1988;153.2
1;3;3;01.04.1988;153.6
1;3;3;01.05.1988;154.7
1;3;3;01.06.1988;156.1
1;3;3;01.07.1988;159.4
1;3;3;01.08.1988;160.9
1;3;3;01.09.1988;163.8
1;3;3;01.10.1988;165.9
1;3;3;01.11.1988;168.5
1;3;3;01.12.1988;173.9
1;3;3;01.01.1987;118.1
1;3;3;01.02.1987;119.2
1;3;3;01.03.1987;117.9
1;3;3;01.04.1987;123.1
1;3;3;01.05.1987;123.9
1;3;3;01.06.1987;125.8
1;3;3;01.07.1987;129
1;3;3;01.08.1987;128.9
1;3;3;01.09.1987;128.5
1;3;3;01.10.1987;128.2
1;3;3;01.11.1987;129.4
1;3;3;01.12.1987;131.3
1;3;3;01.01.1986;117.1
1;3;3;01.02.1986;117.8
1;3;3;01.03.1986;118
1;3;3;01.04.1986;119.2
1;3;3;01.05.1986;120.5
1;3;3;01.06.1986;118.2
1;3;3;01.07.1986;114.4
1;3;3;01.08.1986;115.2
1;3;3;01.09.1986;116.3
1;3;3;01.10.1986;117.9
1;3;3;01.11.1986;117.5
1;3;3;01.12.1986;117.1
1;3;3;01.01.1985;113.2
1;3;3;01.02.1985;110.3
1;3;3;01.03.1985;111.9
1;3;3;01.04.1985;111.6
1;3;3;01.05.1985;111.8
1;3;3;01.06.1985;113
1;3;3;01.07.1985;115.1
1;3;3;01.08.1985;115.4
1;3;3;01.09.1985;115.9
1;3;3;01.10.1985;116.1
1;3;3;01.11.1985;115.8
1;3;3;01.12.1985;116.7
1;3;3;01.01.1984;115.6
1;3;3;01.02.1984;113.4
1;3;3;01.03.1984;112.4
1;3;3;01.04.1984;111.4
1;3;3;01.05.1984;112.1
1;3;3;01.06.1984;112.9
1;3;3;01.07.1984;113.7
1;3;3;01.08.1984;112.5
1;3;3;01.09.1984;112.8
1;3;3;01.10.1984;112.6
1;3;3;01.11.1984;113.5
1;3;3;01.12.1984;114.2
1;3;3;01.01.1983;167.3
1;3;3;01.02.1983;131.5
1;3;3;01.03.1983;126.7
1;3;3;01.04.1983;126.9
1;3;3;01.05.1983;124.7
1;3;3;01.06.1983;123
1;3;3;01.07.1983;119.2
1;3;3;01.08.1983;119.3
1;3;3;01.09.1983;118.8
1;3;3;01.10.1983;118.5
1;3;3;01.11.1983;118.2
1;3;3;01.12.1983;118.2
1;3;3;01.01.1982;153.2
1;3;3;01.02.1982;206.4
1;3;3;01.03.1982;210.7
1;3;3;01.04.1982;204.1
1;3;3;01.05.1982;208.4
1;3;3;01.06.1982;211.9
1;3;3;01.07.1982;213.3
1;3;3;01.08.1982;214.9
1;3;3;01.09.1982;208.5
1;3;3;01.10.1982;201
1;3;3;01.11.1982;197.9
1;3;3;01.12.1982;175
